X,Y,NROBARRIO,BARRIO,CODBA
-56.148665965504726,-34.717774160550405,32,MANGA TOLEDO CHICO,MT
-56.148435130490945,-34.717621495748304,32,MANGA TOLEDO CHICO,MT
-56.143706017937433,-34.714469226691115,32,MANGA TOLEDO CHICO,MT
-56.140529403025845,-34.715635296742242,32,MANGA TOLEDO CHICO,MT
-56.135585002804483,-34.716643261818774,32,MANGA TOLEDO CHICO,MT
-56.13239671934506,-34.714496448886109,32,MANGA TOLEDO CHICO,MT
-56.126052561748956,-34.718319738017549,32,MANGA TOLEDO CHICO,MT
-56.124648695513422,-34.721148905404043,32,MANGA TOLEDO CHICO,MT
-56.123070428914701,-34.724803247800359,32,MANGA TOLEDO CHICO,MT
-56.122107445175835,-34.726283762386963,32,MANGA TOLEDO CHICO,MT
-56.121663787430911,-34.726965338862982,32,MANGA TOLEDO CHICO,MT
-56.128387303097028,-34.729275516200985,32,MANGA TOLEDO CHICO,MT
-56.126983544846524,-34.732266959756267,32,MANGA TOLEDO CHICO,MT
-56.128050833002618,-34.734261110567743,32,MANGA TOLEDO CHICO,MT
-56.125052586206216,-34.736093406504551,32,MANGA TOLEDO CHICO,MT
-56.121354028210497,-34.740086101963406,32,MANGA TOLEDO CHICO,MT
-56.12136289107309,-34.742745245355891,32,MANGA TOLEDO CHICO,MT
-56.121501731949415,-34.743344368335272,32,MANGA TOLEDO CHICO,MT
-56.121900962890273,-34.745069662418942,32,MANGA TOLEDO CHICO,MT
-56.119608957750373,-34.746900213529933,32,MANGA TOLEDO CHICO,MT
-56.11608102014749,-34.749233764064101,32,MANGA TOLEDO CHICO,MT
-56.112373421305378,-34.75073830970063,32,MANGA TOLEDO CHICO,MT
-56.109192863753435,-34.751241033735162,32,MANGA TOLEDO CHICO,MT
-56.10830213869162,-34.751468317351247,32,MANGA TOLEDO CHICO,MT
-56.106543170457648,-34.751913802625133,32,MANGA TOLEDO CHICO,MT
-56.103709890945296,-34.750423519334561,32,MANGA TOLEDO CHICO,MT
-56.101592588626318,-34.751757584094129,32,MANGA TOLEDO CHICO,MT
-56.100182894075296,-34.753256890600056,32,MANGA TOLEDO CHICO,MT
-56.098950440086419,-34.754918064518883,32,MANGA TOLEDO CHICO,MT
-56.098654159931669,-34.755689388298322,32,MANGA TOLEDO CHICO,MT
-56.098248840825732,-34.756744882453624,32,MANGA TOLEDO CHICO,MT
-56.096129117060094,-34.757249559607438,32,MANGA TOLEDO CHICO,MT
-56.094011518426555,-34.758583492573521,32,MANGA TOLEDO CHICO,MT
-56.094018508836669,-34.760909114969039,32,MANGA TOLEDO CHICO,MT
-56.096326576313146,-34.764059299546368,32,MANGA TOLEDO CHICO,MT
-56.099163405283264,-34.766708052718997,32,MANGA TOLEDO CHICO,MT
-56.098288955903783,-34.769864805594693,32,MANGA TOLEDO CHICO,MT
