X,Y,COD_NOMBRE,COD_NOMB_1
-56.239365182291067,-34.821964163050467,6460,6644
-56.240011361050158,-34.822660645821088,6460,5774
-56.23091661369471,-34.835286839575616,245,5375
-56.230984251407001,-34.835358736226063,245,5375
-56.261177112638393,-34.849726418070006,8652,8652
-56.279946458531015,-34.849822937279463,4007,4007
-56.280235468609348,-34.849875985823878,4007,4009
-56.129296029591181,-34.724031678856463,2510,2335
-56.127382075924842,-34.723544863521425,2510,2510
-56.145199124132859,-34.742932157068282,6928,6928
-56.240865995302876,-34.802538708575675,2889,3741
-56.239418519041507,-34.802065671473684,2889,7354
-56.243860568916723,-34.802533430026322,3726,3726
-56.158271816111267,-34.808082069383964,8088,4014
-56.245385654405496,-34.852591813390724,1274,1274
-56.246221508746807,-34.852178923874753,1274,1277
-56.24871149347846,-34.854081311206699,7595,8881
-56.248470985223577,-34.853726372310113,7595,7594
-56.247992294525638,-34.85338543288524,7593,7595
-56.247710817446581,-34.853544109294241,7593,7593
-56.240290769956225,-34.803009306487752,3741,3246
-56.140621613803127,-34.803297000038626,8986,5442
-56.140952892612916,-34.801966626650071,8986,8986
-56.165758088371341,-34.728398544338603,4395,4395
-56.219679262071004,-34.803106112884507,3528,3528
-56.132458208806902,-34.802969538172043,8602,8613
-56.132632237064577,-34.802144343783986,8602,5442
-56.233221245223639,-34.842914293079019,8997,8997
-56.232859623771418,-34.842811787742868,8997,8998
-56.233593518359427,-34.842520997781627,8999,9005
-56.234069946812312,-34.842262576694516,8999,9000
-56.232681028686208,-34.843123337808812,8987,8994
-56.232275874221529,-34.842647044139397,8994,8997
-56.141095174985097,-34.803363452630336,5442,5442
-56.141189612160908,-34.80200324972607,8976,8986
-56.179815377184539,-34.742965782797313,298,2269
-56.19370389696946,-34.73626312088178,298,298
-56.121077200308811,-34.803446619702484,1412,6696
-56.121707046852165,-34.802561813387712,1412,1412
-56.238784207878155,-34.803325176729963,7354,3741
-56.17768374033632,-34.740757072426312,203,2269
-56.200404516055102,-34.824306259528569,5850,1710
-56.200393551513308,-34.824139533325038,5850,8000
-56.198204215229765,-34.824276617475746,5109,3309
-56.197719676120677,-34.824523116280822,5109,9449
-56.199804172345196,-34.824664064876082,3309,1710
-56.247416624194621,-34.86651606606744,5320,9139
-56.218904975998981,-34.803536660491943,2673,2427
-56.212226029860908,-34.809343991329989,3519,3519
-56.213952246345713,-34.809911152611704,7494,7245
-56.220266690151618,-34.803793871013063,3528,5050
-56.221968708684429,-34.803860718104104,5027,3519
-56.221105993454685,-34.803101173207992,5027,2938
-56.23618413526615,-34.803856379533727,3741,5340
-56.237178322356243,-34.803654869694491,3741,9410
-56.218140544687351,-34.80395815895141,2427,4110
-56.235795530152778,-34.803934247858294,3741,3741
-56.216029274932239,-34.804090815441143,5520,5520
-56.215501261574971,-34.803470460613042,5520,7269
-56.235009417455394,-34.804085502357864,3741,2807
-56.21948631496911,-34.804237962049221,2673,5050
-56.221251014355325,-34.804268570151322,3519,5261
-56.234136666739523,-34.804259564018189,3741,1209
-56.247950293276809,-34.803362752988718,4728,4728
-56.248515292798203,-34.804374950901618,4728,813
-56.167238401942932,-34.804099214591815,348,1187
-56.17182450756119,-34.804623305672912,348,348
-56.220834061309205,-34.804499716145806,3519,3519
-56.25266373212613,-34.803369577672257,6952,6366
-56.252226202493617,-34.804466240638611,6952,6952
-56.218726701979115,-34.804668463297688,4110,5050
-56.220534337440412,-34.804676414825515,3519,3300
-56.134090565398914,-34.804917201764809,4014,326
-56.131400289953817,-34.804563009344754,4014,4014
-56.314456356562516,-34.745551916747104,5889,4052
-56.318792625409031,-34.740549240265764,5889,4999
-56.216631546819819,-34.80481910872281,5520,2427
-56.220061796952969,-34.804925757804767,2673,3519
-56.239893404535515,-34.804899024819072,3246,1695
-56.216222452783143,-34.805054721929899,2427,6273
-56.232202430083099,-34.804635311667411,3741,3741
-56.230067218667315,-34.805052228134961,3741,3741
-56.219668722175534,-34.805152319160712,3519,1032
-56.246677673468625,-34.805223841005905,813,813
-56.219298424158836,-34.805356274184632,4110,3519
-56.132958825216846,-34.805708614283034,4242,4242
-56.227906713943341,-34.805469186853848,3741,762
-56.219952220429562,-34.805539046379636,1032,660
-56.220466111883582,-34.805596051444638,660,3300
-56.221081998430563,-34.805702315786114,5261,5261
-56.216822160583312,-34.805742459034455,6273,5050
-56.217950387975854,-34.805108025015251,5050,2034
-56.13449445601109,-34.805957359195105,4242,326
-56.218571421865235,-34.805750618119788,2034,3519
-56.265589419389769,-34.800116587656092,2765,5889
-56.268769208540959,-34.805698346702187,2765,5601
-56.278478690104777,-34.746063950288402,6790,4362
-56.278299493745962,-34.745992476029592,6790,4362
-56.21870082164547,-34.805894444151789,2034,660
-56.131090164430958,-34.806132178311614,1795,238
-56.219900702058808,-34.805926806336359,660,1032
-56.214515542224248,-34.806037938305195,2427,3903
-56.132205702379174,-34.806273771916253,238,238
-56.136887506996004,-34.806298437887001,4242,918
-56.244737200719413,-34.80606853459124,813,2889
-56.224074328294442,-34.806224848223977,3741,5853
-56.164143452134397,-34.806342851269029,5442,5442
-56.163266768434099,-34.806250502553617,5442,2408
-56.144617809360874,-34.806293389319386,4014,7290
-56.145722118014852,-34.806439393614291,4014,4014
-56.228186763310667,-34.806356181164091,762,7581
-56.165156164269938,-34.806461877505996,5442,5442
-56.278022638881566,-34.746367543928123,4362,8936
-56.217360646621941,-34.806407845624634,6273,3519
-56.220389177343932,-34.806403040059713,3300,7494
-56.219829025083548,-34.806463359033053,1032,7494
-56.147514243288505,-34.806678325224318,4014,4014
-56.166360572974256,-34.806607430719616,5442,1187
-56.230573560439382,-34.806785813555834,7425,1695
